Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss,p_max_c,a_max_c,alpha_c,beta_c,t,result,real_medal
Fahim Anwari,Swimming,Men's 50m Freestyle,AFG,2024.0,No medal,1.0,1.0,2020.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569,0.5774973494547458,3.720474729470961,0.02,0.02,24.0,0.5885793698998715,
Fariba Hashimi,Cycling Road,Women's Road Race,AFG,2024.0,No medal,1.0,1.0,2024.0,16.0,2.5,4.000006449885999,0.3473699886885347,0.0886474926940321,0.0,0.2499999999999999,0.4571128895229807,0.053485566234924,0.0213227574779394,20.0,0.63592594083954,
Kimia Yousofi,Athletics,Women's 100m,AFG,2024.0,No medal,1.0,1.0,2020.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569,1.899292451508991,9.447930768056809,0.05,0.05,24.0,0.905731815363001,
Mahmood Noor,Athletics,Men's 100m,AFG,2024.0,No medal,1.0,1.0,2020.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569,1.899292451508991,9.447930768056809,0.05,0.05,24.0,0.905731815363001,
Samim Faizad,Judo,Men -81 kg,AFG,2024.0,No medal,1.0,1.0,2024.0,16.0,2.5,4.000006449885999,0.2252060116139292,0.1328567448261221,0.0,2.4093474999999995,4.000006449885999,0.3346529149374133,0.3433313909246904,20.0,0.21799296243598107,
Yulduz Hashimi,Cycling Road,Women's Road Race,AFG,2024.0,No medal,1.0,1.0,2024.0,16.0,2.5,5.713373785917427,0.5516430471855103,0.096552951692294,0.0,0.2499999999999999,0.4571128895229807,0.053485566234924,0.0213227574779394,20.0,0.7545500764266584,
Yulduz Hashimi,Cycling Road,Women's Individual Time Trial,AFG,2024.0,No medal,1.0,1.0,2024.0,16.0,2.5,4.000006449885999,0.7055539511736771,0.4544822799518587,0.0,0.2499999999999999,0.4571128895229807,0.053485566234924,0.0213227574779394,20.0,0.0032485285698921093,
Abubakar Khaslakhanau,Wrestling,Men's Greco-Roman 97kg,AIN,2024.0,No medal,1.0,1.0,2024.0,16.0,2.5,20.01137151533696,0.05,0.4478704745297349,0.0,1.1552809401781183,20.01137151533696,0.05,0.4478704745297349,20.0,2.7127499172243423,
Alena Ivanchenko,Cycling Road,Women's Road Race,AIN,2024.0,No medal,1.0,1.0,2024.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0,1.5493690362731782,9.301186823677403,0.05,0.05,20.0,1.4767689602431222,
Alexey Korovashkov,Canoeing,Men's Canoe Double 500m,AIN,2024.0,No medal,1.0,1.0,2024.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0,1.5493690362731782,9.301186823677403,0.05,0.05,20.0,1.4767689602431222,
Aliaksandra Piatrova,Shooting,25m Pistol Women,AIN,2024.0,No medal,1.0,1.0,2024.0,16.0,2.5,4.000006449885999,0.4089052122642079,0.3206312508214966,0.0,0.2499999999999999,0.4000006449885998,0.0257141407830533,0.030315788033931,20.0,0.01645642951720884,
Alina Zmushka,Swimming,Women's 100m Breaststroke,AIN,2024.0,No medal,1.0,1.0,2020.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569,0.5774973494547458,3.720474729470961,0.02,0.02,24.0,0.5885793698998715,
Alina Zmushka,Swimming,Women's 200m Breaststroke,AIN,2024.0,No medal,1.0,1.0,2020.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569,0.5774973494547458,3.720474729470961,0.02,0.02,24.0,0.5885793698998715,
