First Year,Sport,NOC,p_max,a_max,alpha,beta
498.0,Archery,AUS,2.147914457878955,9.301186823677403,0.05,0.05
499.0,Archery,AUS,2.5,9.301186823677403,0.05,0.05
500.0,Archery,AUS,2.25,9.301186823677403,0.05,0.05
498.0,Archery,BEL,1.4437433736368646,9.301186823677403,0.05,0.05
499.0,Archery,BEL,1.2993690362731782,9.301186823677403,0.05,0.05
500.0,Archery,BEL,1.1694321326458605,9.301186823677403,0.05,0.05
498.0,Archery,BHU,2.4119786144697386,9.301186823677403,0.05,0.05
499.0,Archery,BHU,2.5,9.301186823677403,0.05,0.05
500.0,Archery,BHU,2.25,9.301186823677403,0.05,0.05
499.0,Archery,BLR,2.5,4.000006449885999,0.3912775345029217,0.2898974902705027
500.0,Archery,BLR,2.25,4.000006449885999,0.3912775345029217,0.2898974902705027
498.0,Archery,BRA,2.5,4.000006449885999,0.307468211897315,0.1693288425043831
499.0,Archery,BRA,2.25,4.000006449885999,0.307468211897315,0.1693288425043831
500.0,Archery,BRA,2.025,4.000006449885999,0.307468211897315,0.1693288425043831
498.0,Archery,BUL,2.5,4.000006449885999,0.8404154616625874,0.2740983194026881
499.0,Archery,BUL,2.5,4.000006449885999,0.8468301680397593,0.3236307288922481
500.0,Archery,BUL,2.25,4.000006449885999,0.8468301680397593,0.3236307288922481
498.0,Archery,CAN,2.147914457878955,9.301186823677403,0.05,0.05
499.0,Archery,CAN,2.5,9.301186823677403,0.05,0.05
500.0,Archery,CAN,2.25,9.301186823677403,0.05,0.05
498.0,Archery,CHN,3.1208009237454903,14.65627916950718,0.05,0.2489352372648674
499.0,Archery,CHN,3.0,14.656279169507178,0.05,0.2489352372648673
500.0,Archery,CHN,2.7,14.656279169507178,0.05,0.2489352372648673
498.0,Archery,COL,2.5,4.000006449885999,0.4045603764684144,0.3471271873101023
499.0,Archery,COL,2.25,4.000006449885999,0.4045603764684144,0.3471271873101023
500.0,Archery,COL,2.025,4.000006449885999,0.4045603764684144,0.3471271873101023
498.0,Archery,CRC,2.5,4.000006449885999,0.6236786184306277,0.1803919094088411
499.0,Archery,CRC,2.25,4.000006449885999,0.6236786184306277,0.1803919094088411
500.0,Archery,CRC,2.025,4.000006449885999,0.6236786184306277,0.1803919094088411
