Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss,p_max_c,a_max_c,alpha_c,beta_c,t,result,real_medal
Fahim Anwari,Swimming,Men's 50m Freestyle,AFG,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,4.000006449885999,0.416862442258765,0.2814505798513355,0.0,0.2499999999999999,0.4000006449885998,0.0416862442258764,0.0281450579851335,20.0,0.03165600520054369,0.0
Farzad Mansouri,Taekwondo,Men +80kg,AFG,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,4.000006449885999,0.2501353717774491,0.0929358873806657,0.0,3.742,6.396733134715283,0.3765480748669526,0.2492692161015632,20.0,0.5043031562562038,
Kimia Yousofi,Athletics,Women's 100m,AFG,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,9.692535316568575,0.05,0.05,0.0,2.2326926530813678,9.692535316568575,0.05,0.05,20.0,1.8426287587877603,0.0
Mahdi Yovari,Shooting,10m Air Rifle Men,AFG,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,4.000006449885999,0.4418149957096143,0.30701064405563,0.0,0.2499999999999999,0.4000006449885998,0.0441814995709614,0.0307010644055629,20.0,0.02176686680710938,
Mahmood Noor,Athletics,Men's 100m,AFG,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,9.692535316568575,0.05,0.05,0.0,2.2326926530813678,9.692535316568575,0.05,0.05,20.0,1.8426287587877603,0.0
Briken Calja,Weightlifting,Men's 73kg,ALB,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0,2.26110984800892,9.301186823677403,0.05,0.05,20.0,1.805561468427372,
Erkand Qerimaj,Weightlifting,Men's 81kg,ALB,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0,2.26110984800892,9.301186823677403,0.05,0.05,20.0,1.805561468427372,
Indrit Cullhaj,Judo,Men -66 kg,ALB,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,4.000006449885999,0.3106484329626853,0.4248875200729267,0.0,2.3245,4.000006449885999,0.3351666129897428,0.4701696417153149,20.0,0.0023043977183779636,
Izmir Smajlaj,Athletics,Men's Long Jump,ALB,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,9.600258931814777,0.05,0.05,0.0,2.3221995745939967,9.576320751671298,0.05,0.05,20.0,1.8719341320632867,
Kledi Kadiu,Swimming,Men's 100m Freestyle,ALB,2020.0,No medal,1.0,1.0,2020.0,16.0,2.5,9.600258931814777,0.05,0.05,0.0,2.2745393274398102,9.625977637754048,0.05,0.05,20.0,1.8517388686002068,
