Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss,p_max_c,a_max_c,alpha_c,beta_c,t,result,real_medal
Afonso Agra,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.9729055642805602,0.2608126243088054,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.11890178108240612,
Carlos Magalhes,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,5.192635994153588,0.4608632741032118,0.088753237724619,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.8065266563802813,
Daniel Carvalho,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.701121222892323,0.3482110823600133,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.018963260196749453,
Daniel Santos,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.6783156731060089,0.3048203977961964,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.03660006538348234,
Emlio Peixe,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.7259989285649328,0.2883852549959254,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.051406024197283656,
Enrique Ribeiro,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.8072888294549332,0.4631263596791727,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.0035777343513402776,
Hugo Porfrio,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.7270354374761478,0.2922324669062241,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.04841783304439292,
Jos Dominguez,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.4465947963212638,0.4259445648463307,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.003629606153448089,
Jos Silva,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.8918214315168527,0.4967092955180169,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.0023951666688839567,
Jos Vidigal,Football,Football Men's Football,POR,1996.0,No medal,19.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.5992654900692104,0.1687683735480001,0.0,0.2499999999999999,0.472884725375393,0.0623962840846609,0.0297021248188576,20.0,0.2841934883504973,
