NOC,Gold,Silver,Bronze,Medal
GBR,17.75,7.644444444,8.6,33.99444444
USA,15.29420024,7.535714286,17.08333333,39.91324786
CHN,10.91666667,6,12.7,29.61666667
GER,7.833333333,1.166666667,6.93995098,15.93995098
RUS,6.988888889,3.2,7.288461538,17.47735043
FRA,5.083333333,6.941666667,7.166666667,19.19166667
HUN,4.75,0,2.25,7
NZL,4,4.333333333,2,10.33333333
CRO,4,2.384615385,0,6.384615385
BRA,3.892156863,0.5,3,7.392156863
JPN,3.6,1,10.79166667,15.39166667
NED,3.5,2.4375,0.555555556,6.493055556
ESP,3.5,0.8,5.666666667,9.966666667
ITA,3,6.705128205,2.461538462,12.16666667
KEN,3,3,0,6
CUB,3,1,3,7
SUI,3,1,2,6
COL,3,1,0,4
ARG,2.611111111,0,0,2.611111111
AUS,2.6,5.65,5.133333333,13.38333333
CAN,2,1,8.066666667,11.06666667
IRI,2,1,3,6
UKR,2,1,3,6
POL,2,1,2.25,5.25
INA,2,1,0,3
UZB,2,0,3,5
JAM,1.5,0.166666667,1,2.666666667
KAZ,1,2,3,6
CZE,1,1,6.5,8.5
GEO,1,1,2,4
TUR,1,1,2,4
GRE,1,1,0,2
PRK,1,1,0,2
RSA,1,1,0,2
BEL,1,0.625,2,3.625
KOR,1,0,5.5,6.5
TPE,1,0,1.666666667,2.666666667
BAH,1,0,0.4,1.4
ARM,1,0,0,1
SGP,1,0,0,1
SVK,1,0,0,1
TJK,1,0,0,1
VIE,1,0,0,1
ROU,0.75,0,0.222222222,0.972222222
SRB,0.692307692,0.5,1,2.192307692
DEN,0.285714286,4.25,2.6,7.135714286
AZE,0,6,2,8
MAS,0,3,1,4
SWE,0,2.555555556,3,5.555555556
SLO,0,2,1,3
ETH,0,1,3,4
LTU,0,1,0.5,1.5
ALG,0,1,0,1
BDI,0,1,0,1
GRN,0,1,0,1
IRL,0,1,0,1
MEX,0,1,0,1
MGL,0,1,0,1
PHI,0,1,0,1
QAT,0,1,0,1
THA,0,1,0,1
NOR,0,0,3.571428571,3.571428571
BLR,0,0,2,2
TUN,0,0,2,2
CIV,0,0,1,1
EGY,0,0,1,1
EST,0,0,1,1
POR,0,0,1,1
TTO,0,0,1,1
VEN,0,0,1,1
BUL,0,0,0.8,0.8
ALB,0,0,0,0
ANG,0,0,0,0
ANT,0,0,0,0
ARU,0,0,0,0
AUT,0,0,0,0
BAN,0,0,0,0
BAR,0,0,0,0
BER,0,0,0,0
BIH,0,0,0,0
BOL,0,0,0,0
BOT,0,0,0,0
BRN,0,0,0,0
BUR,0,0,0,0
CAF,0,0,0,0
CAM,0,0,0,0
CAY,0,0,0,0
CGO,0,0,0,0
CHI,0,0,0,0
CMR,0,0,0,0
COK,0,0,0,0
COM,0,0,0,0
CPV,0,0,0,0
CRC,0,0,0,0
CYP,0,0,0,0
DJI,0,0,0,0
DOM,0,0,0,0
ECU,0,0,0,0
ERI,0,0,0,0
ESA,0,0,0,0
FIJ,0,0,0,0
FIN,0,0,0,0
FSM,0,0,0,0
GAB,0,0,0,0
GBS,0,0,0,0
GEQ,0,0,0,0
GUA,0,0,0,0
GUM,0,0,0,0
GUY,0,0,0,0
HAI,0,0,0,0
HKG,0,0,0,0
HON,0,0,0,0
IND,0,0,0,0
ISL,0,0,0,0
ISR,0,0,0,0
ISV,0,0,0,0
IVB,0,0,0,0
JOR,0,0,0,0
KGZ,0,0,0,0
KIR,0,0,0,0
KSA,0,0,0,0
LAO,0,0,0,0
LAT,0,0,0,0
LCA,0,0,0,0
LES,0,0,0,0
LIB,0,0,0,0
LIE,0,0,0,0
LUX,0,0,0,0
MAD,0,0,0,0
MAR,0,0,0,0
MDA,0,0,0,0
MDV,0,0,0,0
MHL,0,0,0,0
MKD,0,0,0,0
MLI,0,0,0,0
MLT,0,0,0,0
MNE,0,0,0,0
MON,0,0,0,0
MOZ,0,0,0,0
MRI,0,0,0,0
MTN,0,0,0,0
NAM,0,0,0,0
NCA,0,0,0,0
NGR,0,0,0,0
OMA,0,0,0,0
PAN,0,0,0,0
PAR,0,0,0,0
PER,0,0,0,0
PLE,0,0,0,0
PLW,0,0,0,0
PNG,0,0,0,0
PUR,0,0,0,0
RWA,0,0,0,0
SEN,0,0,0,0
SEY,0,0,0,0
SKN,0,0,0,0
SMR,0,0,0,0
SOL,0,0,0,0
SOM,0,0,0,0
SRI,0,0,0,0
SUD,0,0,0,0
SUR,0,0,0,0
SWZ,0,0,0,0
SYR,0,0,0,0
TAN,0,0,0,0
TGA,0,0,0,0
TLS,0,0,0,0
TOG,0,0,0,0
UAE,0,0,0,0
UGA,0,0,0,0
URU,0,0,0,0
VAN,0,0,0,0
VIN,0,0,0,0
ZAM,0,0,0,0
ZIM,0,0,0,0
