Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss,p_max_c,a_max_c,alpha_c,beta_c,t,result,real_medal
Anthony Borre,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.2442920581848658,0.2781769043673882,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.02563592867167408,
Faris Haroun,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.9462906093294844,0.0513526133018819,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,2.989926176898878,
Jan Vertonghen,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.6599857997801046,0.2428603506207083,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.08806648678348569,
Jeroen Simaeys,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.7730648318976487,0.3578448761654991,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.01678245327729638,
Kevin Castillo,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.7876305221462657,0.4236232364162689,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.005997382377899236,
Landry Mulemo,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.5041135001235565,0.3895328569464214,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.006556561922713937,
Laurent Ciman,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.2349060690322106,0.4611151392088208,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.0013523963623882785,
Logan Bailly,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.1169913042774048,0.172764717077471,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.11281019246100421,
Maarten Martens,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.831266487712342,0.3738050665837308,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.01427689943091558,
Marouane Fellaini-bakkioui,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.1078313180524829,0.0913724500559517,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.40880571826289996,
Mousa Dembl,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.2465743738681712,0.2681168524932012,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.030223774147119558,
Sbastien Pocognoli,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.368729942847524,0.224758751424144,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.07362316974456694,
Sepp Roover,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.5724305551074322,0.0551680486477981,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,1.541102106132258,
Stijn Smet,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.9524073294146242,0.3781585529818742,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.01618290633092649,
Thomas Vermaelen,Football,Football Men's Football,BEL,2008.0,No medal,19.0,1.0,2008.0,16.0,2.5,4.000006449885999,0.9308348055208374,0.4084034277241101,0.0,0.2499999999999999,0.4033846594000541,0.0583503089419443,0.0283177971393211,20.0,0.009634188908774651,
